,,,
16Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,2.028981,131.123922556,0.0025
experiment 2,2.02866,131.150255364,0.0025
experiment 3,2.01844,131.156705827,0.0025
experiment 4,2.018075,131.140177785,0.0025
experiment 5,2.056624,131.199200669,0.0025
experiment 6,2.011591,131.131176458,0.0025
experiment 7,2.008554,131.114789154,0.0025
experiment 8,2.016541,131.118952753,0.0025
experiment 9,2.011079,131.174716729,0.0025
experiment 10,2.0168,131.105522738,0.0025
Average,2.0215345,131.141542003,0.0025
SD,0.0133531823,0.0277021219,8.70233588817E-016
32Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,2.0261,262.225817812,0.0025
experiment 2,2.016698,262.208628344,0.0025
experiment 3,2.016541,262.245964588,0.0025
experiment 4,2.011672,262.258860149,0.0025
experiment 5,2.03418,262.444670051,0.0025
experiment 6,2.018896,262.233607531,0.0025
experiment 7,2.019584,262.34244338,0.0025
experiment 8,2.025796,262.382264927,0.0025
experiment 9,2.01543,262.227160834,0.0025
experiment 10,2.024265,262.405932342,0.0025
Average,2.0209162,262.297534996,0.0025
SD,0.0062942216,0.0829679907,5.32907080055E-016
64Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,2.011471,524.629511148,0.0025
experiment 2,2.021022,524.474736503,0.0025
experiment 3,2.048309,524.755386609,0.0025
experiment 4,2.014704,524.603171513,0.0025
experiment 5,2.031109,524.691930515,0.0025
experiment 6,2.020532,524.917322959,0.0025
experiment 7,2.012249,524.457007739,0.0025
experiment 8,2.022384,524.472587498,0.0025
experiment 9,2.021872,524.800030176,0.0025
experiment 10,2.01806,524.385567598,0.0025
Average,2.0221712,524.618725226,0.0025
SD,0.0102606855,0.1640212504,5.32907080055E-016
128Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,2.1090598,1049.52899517,0.00261
experiment 2,2.1043488,1049.25465724,0.00261
experiment 3,2.0998908,1049.40627278,0.00261
experiment 4,2.10493077,1048.78825407,0.00261
experiment 5,2.09939377,1048.93973484,0.00261
experiment 6,2.1513288,1049.24186332,0.0026
experiment 7,2.10415577,1048.82048036,0.0026
experiment 8,2.1460768,1049.25691502,0.0026
experiment 9,2.11126977,1048.83229716,0.00261
experiment 10,2.10432777,1048.75388155,0.00261
Average,2.113478285,1049.08233515,0.002607
SD,0.0179715532,0.2712656011,4.5825756947E-006
256Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,2.1090598,1049.52899517,0.00261
experiment 2,2.1043488,1049.25465724,0.00261
experiment 3,2.0998908,1049.40627278,0.00261
experiment 4,2.10493077,1048.78825407,0.00261
experiment 5,2.09939377,1048.93973484,0.00261
experiment 6,2.1513288,1049.24186332,0.0026
experiment 7,2.10415577,1048.82048036,0.0026
experiment 8,2.1460768,1049.25691502,0.0026
experiment 9,2.11126977,1048.83229716,0.00261
experiment 10,2.10432777,1048.75388155,0.00261
Average,2.113478285,1049.08233515,0.002607
SD,0.0179715532,0.2712656011,4.5825756947E-006
512Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,5.3638889,4134.33514303,0.00261
experiment 2,5.30709957,4127.67503191,0.00261
experiment 3,5.3164676,4132.9001193,0.00261
experiment 4,5.3053866,4129.58668838,0.0026
experiment 5,5.32515557,4127.75489768,0.00261
experiment 6,5.31190657,4128.44053934,0.0026
experiment 7,5.30291157,4128.77345722,0.00261
experiment 8,5.30095057,4129.53271081,0.00261
experiment 9,5.3136326,4130.1323388,0.00261
experiment 10,5.3531366,4132.03291371,0.00261
Average,5.320053615,4130.11638402,0.002608
SD,0.02050418,2.1445378949,0.000004
1024Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,5.48835507,8237.81906598,0.00261
experiment 2,5.49943207,8238.4553182,0.00261
experiment 3,5.5859351,8257.18925407,0.0026
experiment 4,5.55354037,8239.25077171,0.00261
experiment 5,5.5729921,8249.50206521,0.00261
experiment 6,5.51783677,8239.96681122,0.00261
experiment 7,5.5604122,8250.64532293,0.00261
experiment 8,5.52064517,8243.94707588,0.00261
experiment 9,5.47521597,8240.04637884,0.00261
experiment 10,5.470658,8240.62416282,0.00261
Average,5.524502282,8243.74462269,0.002609
SD,0.0394724922263,6.1849551835,3.00000000008e-06
