,timeFirstTPacket,timeLastTPacket,timeFirstRPacket,timeLastRPacket,delaySum,tBytes,tPackets,rBytes,rPackets,lostPackets,timesForwarded,packetsDropped,bytesDropped,transmitterThroughput,recieverThroughput
64,2.01221,9.99218,2.01438,9.99435,3.49325,102400,1600,102400,1600,0,0,0,0,12832.1284416,12832.1284416
128,2.01221,9.99228,2.01449,9.99456,3.66144,204800,1600,204800,1600,0,0,0,0,25663.9352788,25663.9352788
256,2.01221,9.99248,2.01469,9.99497,3.99538,409600,1600,409600,1600,0,0,0,0,51326.5841883,51326.5198715
512,2.01221,9.99289,2.0151,9.99579,4.66262,819200,1600,819200,1600,0,0,0,0,102647.894666,102647.766045
1024,2.01221,9.99371,2.01592,9.99742,5.98501,1638400,1600,1638400,1600,0,0,0,0,205274.697739,205274.697739

0.02,2.01221,9.98228,2.01449,9.98456,1.82625,102400,800,102400,800,0,0,0,0,12848.0678338,12848.0678338
0.05,2.01221,9.95228,2.01449,9.95456,0.7296,40960,320,40960,320,0,0,0,0,5158.64469709,5158.64469709
0.1,2.01221,9.90228,2.01449,9.90456,0.3648,20480,160,20480,160,0,0,0,0,2595.66771904,2595.66771904
1,2.01221,9.00228,2.01449,9.00456,0.03648,2048,16,2048,16,0,0,0,0,292.987051632,292.987051632
